section_id,lesson_id,lesson_number,lesson_title,section_order,section_level,section_type,section_label_raw,source_part_id,source_part_label,parent_section_id,textbook_page,textbook_page_range,source_pdf_page,source_pdf_page_range,audio_asset_ids,review_status,source_file
S02-005-02-01,boya-intermediate-i-lesson-02,2,真正的朋友,17,4,listening_fill_blank,（一）听第一遍录音，填空,,听说（一）,S02-005-02,21,,32,,"[""A02-006""]",visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-005-02-02,boya-intermediate-i-lesson-02,2,真正的朋友,18,4,listening_true_false,（二）听第二遍录音，判断正误,,听说（一）,S02-005-02,21,,32,,"[""A02-006""]",visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-005-02-03,boya-intermediate-i-lesson-02,2,真正的朋友,19,4,listening_open_response,（三）听后回答,,听说（一）,S02-005-02,21,,32,,"[""A02-006""]",visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-006,boya-intermediate-i-lesson-02,2,真正的朋友,20,2,speaking_patterns,口语句式,,听说（一）,S02-001,"[22,23]",22–23,"[33,34]",33–34,,pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-006-01,boya-intermediate-i-lesson-02,2,真正的朋友,21,3,common_patterns,常用句式,,听说（一）,S02-006,22,,33,,,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-006-02,boya-intermediate-i-lesson-02,2,真正的朋友,22,3,pattern_practice,句式练习,,听说（一）,S02-006,"[22,23]",22–23,"[33,34]",33–34,,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-007,boya-intermediate-i-lesson-02,2,真正的朋友,23,2,culture,文化知识,,听说（一）,S02-001,"[23,24]",23–24,"[34,35]",34–35,,pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-007-01,boya-intermediate-i-lesson-02,2,真正的朋友,24,3,culture_discussion,请你说说,,听说（一）,S02-007,23,,34,,,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-007-02,boya-intermediate-i-lesson-02,2,真正的朋友,25,3,reading,阅读短文，回答问题,,听说（一）,S02-007,"[23,24]",23–24,"[34,35]",34–35,,pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-007-03,boya-intermediate-i-lesson-02,2,真正的朋友,26,4,reading_response,读后回答,,听说（一）,S02-007-02,24,,35,,,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-008,boya-intermediate-i-lesson-02,2,真正的朋友,27,2,extension,拓展练习,,听说（一）,S02-001,24,,35,,,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
